gene_name,ctrl_raw_mean,ctrl_clean_mean,ambient_mean,ambient_fraction,is_jakstat,interpretation
LSM6,0.07493025064468384,0.074845626506926,8.462413775783828e-05,0.001129372143156473,False,CLEAN
SRSF11,0.09967241436243057,0.09956076258948847,0.00011165177294210349,0.0011201873021367112,False,CLEAN
HLA-DRA,0.7814547419548035,0.7805798173148464,0.0008749246399570865,0.0011196101232535472,False,CLEAN
PCMT1,0.12512795627117157,0.12498804622012215,0.00013991005104942167,0.0011181358284651835,False,CLEAN
C1orf162,0.11676068603992462,0.11663166792073638,0.00012901811918823725,0.0011049791120970407,False,CLEAN
TXN,0.242996945977211,0.24272946262472542,0.0002674833524855813,0.0011007683714291073,False,CLEAN
YTHDF2,0.08512644469738007,0.08503275776276371,9.368693461635214e-05,0.0011005620515387921,False,CLEAN
PHF11,0.047335825860500336,0.04728376253214115,5.206332835918509e-05,0.0010998715542138591,False,CLEAN
NUDC,0.1464504897594452,0.1462894834724484,0.00016100628699677877,0.001099390567155101,False,CLEAN
RAC2,0.10656411945819855,0.1064472826734451,0.00011683678475345183,0.0010963989131377648,False,CLEAN
LAT,0.14860060811042786,0.14843912351646435,0.00016148459396350678,0.0010867021071912747,False,CLEAN
FCER1G,0.5181166529655457,0.5175543447955407,0.0005623081700049104,0.0010852926011669876,False,CLEAN
NR3C1,0.14285346865653992,0.14269902414189248,0.00015444451464743936,0.001081139408793549,False,CLEAN
HMGB2,0.15865890681743622,0.15848836763638058,0.00017053918105564003,0.001074879340066764,False,CLEAN
GBP5,0.030389681458473206,0.030357388405396063,3.2293053077142586e-05,0.001062632167476658,False,CLEAN
TXNIP,0.1155795156955719,0.11545726722806887,0.00012224846750302776,0.0010577001189814759,False,CLEAN
ICAM2,0.09245158731937408,0.0923546264864523,9.696083292178026e-05,0.0010487741285266307,False,CLEAN
PEBP1,0.14602030813694,0.14586758104107128,0.00015272709586872102,0.0010459305134837224,False,CLEAN
POLR1D,0.08616780489683151,0.08607899244082866,8.881245600285415e-05,0.0010306918704635574,False,CLEAN
C5orf56,0.05432578921318054,0.05427002459134242,5.5764621838122475e-05,0.00102648525950163,False,CLEAN
POLR3GL,0.08528520166873932,0.08519769498359887,8.750668514044546e-05,0.0010260477014562821,False,CLEAN
STAT3,0.07190454006195068,0.07183161882309745,7.292123885323243e-05,0.001014139563237673,True,CLEAN
DHRS7,0.16254457831382751,0.1623809525542988,0.00016362575952871827,0.0010066515981406855,False,CLEAN
RANBP1,0.1132352352142334,0.11312126194575897,0.00011397326847442657,0.0010065176997142,False,CLEAN
TERF2IP,0.11872296035289764,0.11860357649409847,0.00011938385879917135,0.0010055667281569564,False,CLEAN
OSER1,0.08785349130630493,0.08776539348541966,8.809782088527174e-05,0.0010027811026668814,False,CLEAN
IRF9,0.03373820334672928,0.03370464290235135,3.356044437792527e-05,0.000994731225993952,True,CLEAN
WHSC1L1,0.08535970747470856,0.08527481939708767,8.488807762088713e-05,0.0009944747953364158,False,CLEAN
GCC2,0.11261811852455139,0.11250628455592193,0.00011183396862946005,0.0009930370893656833,False,CLEAN
CHTOP,0.06541673094034195,0.06535212537631518,6.46055640267651e-05,0.0009876000084089098,False,CLEAN
RHOH,0.1440466046333313,0.14390528729313548,0.00014131734019581788,0.0009810529068390002,False,CLEAN
APOBEC3A,0.05893735960125923,0.05887972082555302,5.7638775706213285e-05,0.0009779667106936667,False,CLEAN
EMC4,0.09187713265419006,0.0917873360799939,8.979657419616593e-05,0.0009773549914116825,False,CLEAN
VDAC3,0.08138449490070343,0.08130500772139004,7.948717931338667e-05,0.0009766870140358842,False,CLEAN
PIM1,0.09908569604158401,0.09898928880046037,9.640724112364163e-05,0.0009729682989074599,False,CLEAN
MATR3,0.10409387201070786,0.10399313024828523,0.00010074176242262645,0.0009677972437442179,False,CLEAN
CMTM7,0.09339942783117294,0.09330931961599687,9.010821517607681e-05,0.000964761961271912,False,CLEAN
ENSA,0.11082475632429123,0.11071789917578068,0.00010685714851055295,0.0009641992642679184,False,CLEAN
MRPS6,0.09155254811048508,0.09146448906720225,8.805904328282321e-05,0.0009618415336354601,False,CLEAN
PPIG,0.10923895239830017,0.10913459303250671,0.00010435936579346328,0.00095533107469719,False,CLEAN
GBP3,0.025349020957946777,0.02532484217757116,2.4178780375617992e-05,0.0009538348804764422,False,CLEAN
PSIP1,0.06834302097558975,0.06827815246091411,6.486851467564503e-05,0.0009491607738384037,False,CLEAN
ELF1,0.08418640494346619,0.08410657961386908,7.98253295971052e-05,0.0009481973918557327,False,CLEAN
BLOC1S4,0.08672751486301422,0.08664637914001368,8.113572300054439e-05,0.0009355245924975246,False,CLEAN
CD3E,0.16200238466262817,0.16185136032263103,0.00015102433999714115,0.0009322352896943528,False,CLEAN
SUGT1,0.06471506506204605,0.06465519055056546,5.9874511480595416e-05,0.0009252020595697506,False,CLEAN
EIF5B,0.08460050821304321,0.08452247072667263,7.803748637058572e-05,0.0009224233756855181,False,CLEAN
CDC37,0.1286151111125946,0.12849727419941015,0.00011783691318445477,0.0009161980436443103,False,CLEAN
STAT2,0.011599619872868061,0.011589038795704974,1.058107716308751e-05,0.000912191716543836,True,CLEAN
KRAS,0.10511418431997299,0.10501950271975229,9.468160022070571e-05,0.0009007499875800781,False,CLEAN
FUS,0.07808122038841248,0.07801112105506496,7.009933334752028e-05,0.0008977745608843386,False,CLEAN
PIM3,0.10467087477445602,0.10457691115779914,9.39636166568808e-05,0.0008977054683010232,False,CLEAN
KLF3,0.051370102912187576,0.05132431902740071,4.57838847868694e-05,0.0008912554616667344,False,CLEAN
LST1,0.14096522331237793,0.14083961493099253,0.00012560838138539476,0.0008910593580024166,False,CLEAN
NINJ1,0.14691035449504852,0.1467795053135965,0.00013084918145203628,0.0008906736485782997,False,CLEAN
LEF1,0.0828699916601181,0.0827962570674475,7.373459267059901e-05,0.0008897622793666144,False,CLEAN
SPOCK2,0.13304218649864197,0.13292404569379607,0.00011814080484590095,0.0008879950634839189,False,CLEAN
TRAF3IP3,0.09492524713277817,0.09484159097183878,8.365616093938821e-05,0.0008812846262319745,False,CLEAN
VAMP5,0.05575745552778244,0.05570854885103658,4.8906676745862077e-05,0.0008771325069074071,False,CLEAN
CCNL1,0.09886539727449417,0.09877914143928543,8.62558352087428e-05,0.0008724572761211728,False,CLEAN
DNAJC1,0.08033421635627747,0.08026414787972914,7.006847654832116e-05,0.0008722121124275569,False,CLEAN
ANXA2R,0.06374945491552353,0.06369461102841166,5.484388711186894e-05,0.000860303624314033,False,CLEAN
WBSCR22,0.08956056833267212,0.08948375118811015,7.681714456196642e-05,0.0008577116692318171,False,CLEAN
HP1BP3,0.0788809061050415,0.07881335564873526,6.755045630624235e-05,0.0008563600450568988,False,CLEAN
MRPL34,0.08560579270124435,0.085532537241086,7.325546015835016e-05,0.0008557301772089698,False,CLEAN
OCIAD1,0.09012208878993988,0.09004523628484795,7.685250509192887e-05,0.0008527599185041053,False,CLEAN
CCDC90B,0.06712808459997177,0.06707092905675237,5.715554321940319e-05,0.0008514401023059613,False,CLEAN
CXCL11,0.002503450959920883,0.0025013204504523746,2.13050946850854e-06,0.000851029040559225,False,CLEAN
WARS,0.038312237709760666,0.03827964042199141,3.2597287769255134e-05,0.0008508322592953229,False,CLEAN
