Week 4 LFC Beta Sweep Training Log
================================================================================
Sweep betas: [0.01, 0.05, 0.1, 0.2, 0.5]
Best beta: 0.5
Best val r: 0.8571
Test r: 0.8729 +/- 0.0632
JAK-STAT: 0/15

Sweep Results:
  beta=0.010 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=234s
  beta=0.050 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=239s
  beta=0.100 | val_r=0.8570 | epoch=55 | jakstat=0/15 | time=261s
  beta=0.200 | val_r=0.8569 | epoch=56 | jakstat=0/15 | time=261s
  beta=0.500 | val_r=0.8571 | epoch=42 | jakstat=0/15 | time=282s

Epoch-level log:
  beta=0.050 E 25 | MSE=0.0129 LFC=223.5203 Cos=0.1263 Total=0.0255 | val_r=0.8561
  beta=0.050 E 26 | MSE=0.0129 LFC=230.3760 Cos=0.1247 Total=0.0253 | val_r=0.8560
  beta=0.050 E 27 | MSE=0.0124 LFC=200.6840 Cos=0.1191 Total=0.0243 | val_r=0.8560
  beta=0.050 E 28 | MSE=0.0131 LFC=221.7173 Cos=0.1264 Total=0.0257 | val_r=0.8563
  beta=0.050 E 29 | MSE=0.0128 LFC=223.4223 Cos=0.1237 Total=0.0251 | val_r=0.8563
  beta=0.050 E 30 | MSE=0.0128 LFC=217.9217 Cos=0.1240 Total=0.0252 | val_r=0.8560
  beta=0.050 E 31 | MSE=0.0139 LFC=204.9733 Cos=0.1313 Total=0.2320 | val_r=0.8556
  beta=0.050 E 32 | MSE=0.0225 LFC=227.8233 Cos=0.1801 Total=0.4961 | val_r=0.8560
  beta=0.050 E 33 | MSE=0.0173 LFC=247.0111 Cos=0.1568 Total=0.7740 | val_r=0.8430
  beta=0.050 E 34 | MSE=0.0142 LFC=332.8692 Cos=0.1423 Total=1.3599 | val_r=0.8547
  beta=0.050 E 35 | MSE=0.0355 LFC=231.1037 Cos=0.2387 Total=1.2149 | val_r=0.8559
  beta=0.050 E 36 | MSE=0.0279 LFC=206.5885 Cos=0.2041 Total=1.2878 | val_r=0.8525
  beta=0.050 E 37 | MSE=0.0136 LFC=325.8434 Cos=0.1398 Total=2.3085 | val_r=0.8419
  beta=0.050 E 38 | MSE=0.0140 LFC=288.3997 Cos=0.1375 Total=2.3349 | val_r=0.8558
  beta=0.050 E 39 | MSE=0.0229 LFC=210.8758 Cos=0.1899 Total=1.9397 | val_r=0.8548
  beta=0.050 E 40 | MSE=0.0136 LFC=255.4022 Cos=0.1328 Total=2.5809 | val_r=0.8475
  beta=0.050 E 41 | MSE=0.0144 LFC=337.8678 Cos=0.1455 Total=3.7455 | val_r=0.8423
  beta=0.050 E 42 | MSE=0.0147 LFC=303.4559 Cos=0.1424 Total=3.6704 | val_r=0.8557
  beta=0.050 E 43 | MSE=0.0325 LFC=221.2038 Cos=0.2215 Total=2.9303 | val_r=0.8557
  beta=0.050 E 44 | MSE=0.0240 LFC=224.9101 Cos=0.1851 Total=3.1912 | val_r=0.8558
  beta=0.050 E 45 | MSE=0.0179 LFC=223.5285 Cos=0.1549 Total=3.3863 | val_r=0.8561
  beta=0.050 E 46 | MSE=0.0156 LFC=235.2504 Cos=0.1464 Total=3.7943 | val_r=0.8460
  beta=0.050 E 47 | MSE=0.0157 LFC=342.0244 Cos=0.1526 Total=5.8454 | val_r=0.8422
  beta=0.050 E 48 | MSE=0.0139 LFC=325.6387 Cos=0.1395 Total=5.8894 | val_r=0.8544
  beta=0.050 E 49 | MSE=0.0125 LFC=226.9117 Cos=0.1231 Total=4.3362 | val_r=0.8560
  beta=0.050 E 50 | MSE=0.0142 LFC=185.7232 Cos=0.1359 Total=3.7422 | val_r=0.8558
  beta=0.050 E 51 | MSE=0.0130 LFC=246.6441 Cos=0.1245 Total=5.2050 | val_r=0.8560
  beta=0.050 E 52 | MSE=0.0134 LFC=186.6843 Cos=0.1308 Total=4.1335 | val_r=0.8560
  beta=0.050 E 53 | MSE=0.0132 LFC=219.6083 Cos=0.1273 Total=5.0769 | val_r=0.8545
  beta=0.050 E 54 | MSE=0.0138 LFC=294.4666 Cos=0.1350 Total=7.0945 | val_r=0.8516
  beta=0.050 E 55 | MSE=0.0133 LFC=257.7849 Cos=0.1286 Total=6.4707 | val_r=0.8560
  beta=0.050 E 56 | MSE=0.0140 LFC=186.9360 Cos=0.1344 Total=4.8878 | val_r=0.8560
  beta=0.050 E 57 | MSE=0.0135 LFC=189.1042 Cos=0.1285 Total=5.1321 | val_r=0.8560
  beta=0.050 E 58 | MSE=0.0130 LFC=234.6385 Cos=0.1274 Total=6.5956 | val_r=0.8529
  beta=0.050 E 59 | MSE=0.0130 LFC=286.7460 Cos=0.1289 Total=8.3415 | val_r=0.8556
  beta=0.050 E 60 | MSE=0.0128 LFC=242.5714 Cos=0.1240 Total=7.3023 | val_r=0.8559
  beta=0.050 E 61 | MSE=0.0130 LFC=231.0668 Cos=0.1262 Total=7.1886 | val_r=0.8533
  beta=0.050 E 62 | MSE=0.0140 LFC=302.3196 Cos=0.1368 Total=9.7019 | val_r=0.8514
  beta=0.050 E 63 | MSE=0.0130 LFC=275.2627 Cos=0.1273 Total=9.1094 | val_r=0.8556
  beta=0.050 E 64 | MSE=0.0135 LFC=257.0665 Cos=0.1302 Total=8.7668 | val_r=0.8536
  beta=0.050 E 65 | MSE=0.0133 LFC=278.5837 Cos=0.1302 Total=9.7767 | val_r=0.8543
  beta=0.050 E 66 | MSE=0.0129 LFC=267.1830 Cos=0.1272 Total=9.6442 | val_r=0.8559
  beta=0.050 E 67 | MSE=0.0133 LFC=195.6661 Cos=0.1300 Total=7.2659 | val_r=0.8560
  beta=0.050 E 68 | MSE=0.0172 LFC=206.7348 Cos=0.1579 Total=7.8889 | val_r=0.8560
