gene_a,gene_b,combined_score
GZMK,ICOS,710
GZMK,KLRG1,727
GZMK,LAG3,701
GZMK,TIGIT,752
GZMK,CD3G,729
GZMK,GZMA,971
GZMK,KLRB1,931
GZMK,CD69,743
GZMK,CXCR6,776
GZMK,SH2D1A,737
GZMK,CD3E,726
GZMK,KLRD1,710
GZMK,CD27,712
GZMK,EOMES,900
GZMK,CD8B,720
GZMK,CCL4,704
SPARC,FSTL1,779
SPARC,FST,709
SPARC,THBS1,847
SPARC,SPP1,984
NR3C1,FOS,961
NR3C1,HSPA1L,985
NR3C1,PTK6,740
NR3C1,BCL2A1,700
NR3C1,NCOR2,907
NR3C1,STAT5B,835
NR3C1,SMARCA2,720
NR3C1,CRY2,852
NR3C1,TSC22D3,788
NR3C1,HSPA1A,746
NR3C1,HDAC6,824
NR3C1,BCL2,767
NR3C1,HSPA1B,935
NR3C1,TNF,745
NR3C1,ADRB2,727
NR3C1,JUN,961
ZMYND10,RSPH1,844
EHHADH,ACAT2,980
EHHADH,ACACB,762
EHHADH,ALDH9A1,946
CRBN,CUL4B,999
CRBN,JUN,710
CRBN,GLUL,812
CRBN,IKZF3,999
HES1,FANCL,999
NKTR,IL2RB,741
NKTR,AHSA1,808
NKTR,PNISR,875
NKTR,CLK1,788
NKTR,SRSF11,803
NCK2,PDGFRB,842
NCK2,ARHGEF7,860
NCK2,ABI1,901
NCK2,LIMS1,999
NCK2,CHN1,837
HSPE1,HSPA5,725
HSPE1,HSPH1,870
HSPE1,HSPA1L,768
HSPE1,TCP1,917
HSPE1,DNAJB1,834
HSPE1,CCT4,893
HSPE1,GRPEL1,995
HSPE1,TXN,810
HSPE1,AHSA1,831
HSPE1,HSPD1,999
HSPE1,HSPA1A,814
HSPE1,HSPA1B,845
CEBPZ,PWP1,907
CEBPZ,LTV1,859
CEBPZ,MPHOSPH10,977
CEBPZ,DDX24,924
CEBPZ,SURF6,902
CEBPZ,DDX55,767
CEBPZ,BYSL,912
CEBPZ,MRTO4,867
CEBPZ,NOP58,946
RMDN2,RMDN3,877
PLEK,OSBP2,724
PLEK,RGS18,789
PLEK,TYROBP,710
PLEK,RGS1,751
PLEK,ARHGAP12,712
CLCN6,PPT1,762
BCL9,LEF1,910
RGS2,FBXO44,703
AKR7A2,AKR1C3,704
CTSD,MFSD8,789
CTSD,PPT1,842
CTSD,CTSC,713
CTSD,CTSB,977
CTSD,CTSL,897
CTSD,APOE,763
CTSD,IDE,809
CTSD,BID,917
CTSD,BCL2,949
CTSD,SNCA,711
DDX55,CEBPZ,767
DDX55,DDX24,812
DDX55,BYSL,727
DDX55,SURF6,716
DDX55,MRTO4,903
TGFB3,LTBP1,984
TGFB3,THBS1,890
DUSP1,TSC22D3,740
DUSP1,FOS,961
DUSP1,JUN,911
DUSP1,IL6,745
DUSP1,ATF2,739
FZD3,CELSR1,881
FZD3,DVL2,882
KALRN,MYLK,819
GSTM2,MGST2,801
GSTM2,HPGDS,790
GSTM2,CYP1B1,947
GSTM2,GSS,927
ZC3H13,ZCCHC4,946
ZC3H13,METTL16,997
ZC3H13,MED17,995
ZC3H13,MED30,995
ZC3H13,MED6,994
ZC3H13,POLR2B,994
TNFAIP6,CXCL11,734
TNFAIP6,CCL2,732
TNFAIP6,IL6,704
TNFAIP6,PTX3,975
TNFAIP6,IL1B,752
TNFAIP6,THBS1,867
TNFAIP6,VCAN,799
TNFAIP6,CCL5,765
ACTR5,MRPL10,820
ACTR5,YY1,984
ACTR5,ING3,904
ACTR5,RUVBL1,999
MOCS3,ELP3,777
MOCS3,MOCS1,904
MPHOSPH10,SURF6,739
MPHOSPH10,RPS18,976
MPHOSPH10,BYSL,998
MPHOSPH10,IMP3,999
MPHOSPH10,NOP58,999
MPHOSPH10,EXOSC5,721
MPHOSPH10,RPS6,996
MPHOSPH10,CD74,829
MPHOSPH10,PNO1,950
MPHOSPH10,RPS4X,952
MPHOSPH10,PWP1,730
MPHOSPH10,LTV1,987
MPHOSPH10,CEBPZ,977
MPHOSPH10,NOM1,968
LYPD3,PLAUR,704
RAP2A,SGSM1,752
TNFSF9,CD247,706
TNFSF9,IL2,732
TNFSF9,TNFRSF9,999
TNFSF9,TNFRSF18,756
TNFSF9,CD19,722
TNFSF9,CD70,933
TNFSF9,TNFSF4,907
TNFSF9,TNF,839
TNFSF9,CD40LG,859
TNFSF9,ICOS,893
TNFSF9,CD27,983
TNFSF9,TNFRSF4,997
CFP,CFD,845
CFP,CD55,708
CFP,CLU,717
CFP,NCR1,974
OMG,MBP,703
KLF2,MYC,779
KLF2,EOMES,709
KLF2,JUN,720
KLF2,CD8A,732
KLF2,GZMB,783
TUBA4A,GZMB,908
TUBA4A,TCP1,761
TUBA4A,TBCB,808
TUBA4A,TUBB1,964
TUBA4A,CCT4,704
HSPB1,HSPBAP1,911
HSPB1,CYCS,993
HSPB1,BAG3,980
HSPB1,HSPA1B,939
HSPB1,SNCA,853
HSPB1,HSPA1A,977
HSPB1,CASP3,867
HSPB1,HSPH1,872
HSPB1,HSPA5,801
HSPB1,DNAJB1,892
HSPB1,HSPA6,744
GNG11,GNG3,809
GNG11,PREX1,901
GNG11,GNAL,798
GNG11,GNG2,837
FGL2,THBS1,778
FGL2,MS4A6A,705
SDF2L1,HSPA5,804
